"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2018","72.885","73.810","73.955","72.653","","-1.25%"
"05/15/2018","73.810","73.780","74.281","73.651","","0.04%"
"05/14/2018","73.780","73.908","74.111","73.777","","-0.17%"
"05/11/2018","73.908","73.530","74.061","73.397","","0.51%"
"05/10/2018","73.530","75.021","75.021","73.371","","-1.99%"
"05/08/2018","75.021","75.030","75.503","74.896","","-0.01%"
"05/07/2018","75.030","74.837","75.095","74.647","","0.26%"
"05/04/2018","74.837","75.580","75.923","74.537","","-0.98%"
"05/03/2018","75.580","76.472","76.480","75.324","","-1.17%"
"05/02/2018","76.472","76.070","76.854","75.907","","0.53%"
"04/30/2018","76.070","75.692","76.380","75.500","","0.50%"
"04/28/2018","75.692","75.882","75.893","74.900","","0.37%"
"04/27/2018","75.410","75.882","75.893","74.900","","-0.62%"
"04/26/2018","75.882","75.978","76.739","75.787","","-0.13%"
"04/25/2018","75.978","75.380","76.120","75.175","","0.79%"
"04/24/2018","75.380","75.430","75.430","74.991","","-0.07%"
"04/23/2018","75.430","75.465","76.053","75.321","","-0.05%"
"04/20/2018","75.465","75.124","75.788","75.124","","0.45%"
"04/19/2018","75.124","75.331","75.655","75.015","","-0.27%"
"04/18/2018","75.331","76.131","76.425","75.188","","-1.05%"
"04/17/2018","76.131","75.720","76.615","75.454","","0.54%"
"04/16/2018","75.720","76.500","77.270","75.510","","-1.02%"
"04/13/2018","76.500","76.408","76.752","75.400","","0.12%"
"04/12/2018","76.408","77.433","77.828","75.636","","-1.32%"
"04/11/2018","77.433","77.890","80.492","76.904","","-0.59%"
"04/10/2018","77.890","74.708","78.657","74.292","","4.26%"
"04/09/2018","74.708","71.445","74.709","71.445","","4.57%"
"04/06/2018","71.445","70.619","71.450","70.616","","1.17%"
"04/05/2018","70.619","70.547","70.798","70.490","","0.10%"
"04/04/2018","70.547","70.655","71.205","70.510","","-0.15%"
"04/03/2018","70.655","70.730","70.987","70.595","","-0.11%"
"04/02/2018","70.730","70.440","70.991","70.433","","0.41%"
"03/30/2018","70.440","70.495","70.859","70.270","","-0.08%"
"03/29/2018","70.495","71.025","71.198","70.434","","-0.75%"
"03/28/2018","71.025","71.324","71.434","71.010","","-0.42%"
"03/27/2018","71.324","71.151","71.346","70.726","","0.24%"
"03/26/2018","71.151","70.735","71.559","70.463","","0.59%"
"03/23/2018","70.735","70.448","70.866","70.325","","0.41%"
"03/22/2018","70.448","70.190","70.500","70.067","","0.37%"
"03/21/2018","70.190","70.408","70.729","70.162","","-0.31%"
